,concepts,answers,hyes,hno,example_num,obj
184,hg37,False,1,20,19,medium yellow circle
185,hg37,False,0,21,20,medium yellow rectangle
186,hg37,True,15,6,21,small blue circle
187,hg37,False,1,20,22,medium yellow triangle
188,hg37,False,1,20,23,small green rectangle
189,hg37,False,0,20,24,medium yellow rectangle
190,hg37,True,19,1,25,small blue triangle
191,hg37,True,4,16,26,small yellow triangle
192,hg37,True,13,7,27,large blue circle
193,hg37,True,17,3,28,small blue circle
194,hg37,False,6,14,29,medium green circle
195,hg37,False,3,17,30,medium yellow triangle
196,hg37,False,12,8,31,small yellow triangle
197,hg37,True,17,3,32,large blue circle
198,hg37,True,9,11,33,medium blue rectangle
199,hg37,False,3,17,34,large green triangle
200,hg37,False,7,13,35,small yellow triangle
201,hg37,False,6,14,36,medium green triangle
202,hg37,True,2,18,37,large yellow circle
203,hg37,False,2,18,38,medium green rectangle
204,hg37,True,16,4,39,small blue circle
205,hg37,False,6,14,40,small yellow triangle
206,hg37,True,14,6,41,large blue triangle
207,hg37,True,18,2,42,small blue circle
208,hg37,True,16,4,43,medium blue circle
209,hg37,False,5,15,44,large green triangle
210,hg37,False,2,18,45,medium yellow triangle
211,hg37,False,2,18,46,medium yellow rectangle
212,hg37,True,17,3,47,large blue triangle
213,hg37,True,10,10,48,medium yellow triangle
214,hg37,False,8,12,49,large yellow circle
215,hg37,False,2,18,50,small green rectangle
216,hg37,False,6,14,51,medium green triangle
217,hg37,True,13,7,52,small yellow circle
218,hg37,False,6,14,53,large yellow triangle
219,hg37,True,17,3,54,small blue circle
220,hg37,False,4,16,55,large green circle
221,hg37,False,4,16,56,large yellow rectangle
222,hg37,False,5,15,57,small green rectangle
223,hg37,False,1,19,58,small green rectangle
224,hg37,False,4,16,59,small yellow rectangle
225,hg37,False,3,17,60,small green circle
226,hg37,False,2,18,61,medium yellow rectangle
227,hg37,False,2,18,62,large green triangle
228,hg37,False,1,19,63,large green circle
229,hg37,False,10,10,64,small yellow triangle
230,hg37,False,3,17,65,small yellow rectangle
231,hg37,False,3,17,66,large yellow triangle
232,hg37,True,17,3,67,large blue circle
233,hg37,True,15,5,68,large blue triangle
234,hg37,False,2,18,69,large yellow triangle
235,hg102,False,16,8,0,medium yellow circle
236,hg102,True,11,13,1,large green circle
237,hg102,False,13,11,2,small blue rectangle
238,hg102,True,7,17,3,small yellow rectangle
239,hg102,True,8,16,4,medium yellow circle
240,hg102,False,8,16,5,large blue triangle
241,hg102,True,22,2,6,small green circle
242,hg102,False,17,7,7,large green triangle
243,hg102,False,17,7,8,large yellow rectangle
244,hg102,False,15,9,9,small yellow triangle
245,hg102,False,7,17,10,small green triangle
246,hg102,False,11,13,11,medium blue circle
247,hg102,False,8,16,12,large blue circle
248,hg102,False,20,4,13,medium yellow circle
249,hg102,False,6,18,14,small blue rectangle
250,hg102,False,15,9,15,small green rectangle
251,hg102,True,3,21,16,small blue triangle
252,hg102,False,9,15,17,large green rectangle
253,hg102,False,14,10,18,large yellow rectangle
254,hg102,True,3,21,19,small blue circle
255,hg102,True,9,15,20,large blue triangle
256,hg102,True,7,17,21,medium blue rectangle
257,hg102,False,13,11,22,small yellow triangle
258,hg102,False,13,11,23,small yellow rectangle
259,hg102,False,8,16,24,medium blue circle
260,hg102,True,6,18,25,medium green triangle
261,hg102,True,6,18,26,medium green rectangle
262,hg102,True,12,12,27,small green circle
263,hg102,True,6,18,28,small green triangle
264,hg102,True,17,7,29,large green triangle
265,hg102,False,8,16,30,large blue triangle
266,hg102,True,19,5,31,medium green triangle
267,hg102,True,20,4,32,medium green circle
268,hg102,True,7,17,33,large yellow rectangle
269,hg102,False,17,7,34,large yellow rectangle
270,hg102,False,13,11,35,large green circle
271,hg102,True,16,8,36,small green rectangle
272,hg102,True,16,8,37,medium green rectangle
273,hg102,False,5,19,38,large blue circle
274,hg102,True,13,11,39,large yellow circle
275,hg102,False,14,10,40,small green circle
276,hg102,True,12,12,41,medium blue circle
277,hg102,False,14,10,42,medium yellow rectangle
278,hg102,True,10,14,43,medium blue triangle
279,hg102,False,17,7,44,medium yellow circle
280,hg102,True,10,14,45,medium yellow triangle
281,hg102,False,4,20,46,large blue rectangle
282,hg102,True,12,12,47,large yellow rectangle
283,hg102,True,10,14,48,small yellow circle
284,hg102,False,4,20,49,large blue triangle
285,hg102,True,20,4,50,large green triangle
286,hg102,True,19,5,51,small green triangle
287,hg102,True,19,5,52,medium green circle
288,hg102,False,6,18,53,large yellow rectangle
289,hg102,True,17,7,54,medium blue circle
290,hg102,True,17,7,55,large blue rectangle
291,hg102,False,5,19,56,medium yellow circle
292,hg102,True,19,5,57,medium blue rectangle
293,hg102,False,5,19,58,large green triangle
294,hg102,True,18,6,59,small blue rectangle
295,hg102,False,6,18,60,medium yellow triangle
296,hg102,False,2,22,61,medium green triangle
297,hg102,False,5,19,62,large blue circle
298,hg102,True,17,7,63,small yellow rectangle
299,hg102,True,16,8,64,large yellow rectangle
300,hg102,False,15,9,65,large green circle
301,hg102,False,10,14,66,medium green triangle
302,hg102,False,8,16,67,large yellow circle
303,hg102,False,3,21,68,small green rectangle
304,hg102,False,16,8,69,large blue circle
305,hg102,False,13,11,70,medium blue triangle
306,hg102,False,8,16,71,large green circle
307,hg102,False,15,9,72,large blue rectangle
308,hg102,True,10,14,73,small yellow triangle
309,hg102,False,7,17,74,large blue triangle
310,hg102,True,10,14,75,small green rectangle
311,hg102,False,10,14,76,large green circle
312,hg102,False,12,12,77,medium green triangle
313,hg102,False,8,16,78,medium yellow triangle
314,hg62,False,13,12,0,large blue triangle
315,hg62,False,11,13,1,medium yellow rectangle
316,hg62,False,8,16,2,large yellow triangle
317,hg62,True,10,14,3,large blue rectangle
318,hg62,False,8,16,4,medium yellow rectangle
319,hg62,False,8,16,5,large yellow rectangle
320,hg62,False,7,17,6,medium green triangle
321,hg62,False,9,15,7,medium green circle
322,hg62,False,7,17,8,small yellow rectangle
323,hg62,False,8,16,9,medium blue circle
324,hg62,False,4,20,10,large yellow triangle
325,hg62,False,4,20,11,large green circle
326,hg62,False,11,13,12,medium blue rectangle
327,hg62,True,6,18,13,small blue triangle
328,hg62,False,4,19,14,small yellow rectangle
329,hg62,False,6,17,15,small yellow triangle
330,hg62,True,20,3,16,small blue triangle
331,hg62,False,5,18,17,large green triangle
332,hg62,False,2,21,18,large green triangle
333,hg62,False,3,20,19,small yellow triangle
334,hg62,False,3,20,20,medium green rectangle
335,hg62,False,4,19,21,small green triangle
336,hg62,False,2,21,22,medium green triangle
337,hg62,False,0,23,23,small green circle
338,hg62,False,8,15,24,small blue rectangle
339,hg62,True,12,11,25,medium blue triangle
340,hg62,False,0,23,26,medium green circle
341,hg62,False,2,21,27,medium green triangle
342,hg62,False,0,22,28,medium green circle
343,hg62,False,11,11,29,large blue rectangle
344,hg62,False,2,20,30,large yellow circle
345,hg62,False,16,6,31,small blue triangle
346,hg62,False,2,20,32,small yellow circle
347,hg62,False,4,18,33,large yellow rectangle
348,hg62,True,15,7,34,large blue triangle
349,hg62,False,3,19,35,small blue circle
350,hg62,False,1,21,36,small green triangle
351,hg62,True,4,18,37,large blue circle
352,hg62,False,1,21,38,small green triangle
353,hg62,False,1,21,39,small green circle
354,hg62,False,0,22,40,large green triangle
355,hg62,False,1,21,41,small green triangle
356,hg62,True,18,4,42,medium blue triangle
357,hg62,False,2,20,43,medium green triangle
358,hg62,True,17,5,44,large blue triangle
359,hg62,False,1,21,45,large yellow rectangle
360,hg62,False,2,20,46,medium yellow triangle
361,hg62,False,1,21,47,medium yellow circle
362,hg62,False,1,21,48,small yellow triangle
363,hg62,True,18,4,49,large blue rectangle
364,hg62,True,9,13,50,medium blue circle
365,hg62,False,1,21,51,small yellow rectangle
366,hg62,False,0,22,52,large green rectangle
367,hg62,False,1,21,53,small yellow circle
368,hg62,True,18,4,54,large blue triangle
369,hg62,False,0,22,55,small yellow triangle
370,hg62,False,1,21,56,medium green triangle
371,hg62,False,1,21,57,large yellow circle
372,hg62,False,1,21,58,small yellow triangle
373,hg62,False,1,21,59,large green circle
374,hg62,False,1,21,60,small yellow circle
375,hg62,False,2,20,61,medium green triangle
376,hg62,False,0,22,62,large yellow circle
377,hg62,False,0,22,63,large yellow triangle
378,hg62,False,0,22,64,medium yellow triangle
379,hg62,False,8,14,65,small blue circle
380,hg62,False,11,11,66,small blue triangle
381,hg62,False,2,20,67,large yellow circle
382,hg62,False,1,21,68,medium green triangle
383,hg62,False,1,21,69,small green triangle
384,hg62,False,2,20,70,large green rectangle
385,hg62,True,19,3,71,large blue rectangle
386,hg62,False,2,20,72,large green circle
387,hg62,False,0,22,73,small green rectangle
388,hg62,False,16,6,74,large blue triangle
389,hg62,False,1,21,75,large yellow rectangle
390,hg02,False,11,12,0,small blue rectangle
391,hg02,False,12,11,1,medium blue rectangle
392,hg02,False,10,13,2,large blue triangle
393,hg02,False,8,15,3,medium yellow triangle
394,hg02,False,10,13,4,small yellow rectangle
395,hg02,False,1,22,5,small blue rectangle
396,hg02,False,1,22,6,small yellow triangle
397,hg02,False,15,8,7,small green circle
398,hg02,False,11,12,8,large blue circle
399,hg02,False,17,6,9,large green circle
400,hg02,False,8,14,10,medium blue triangle
401,hg02,False,6,16,11,small green circle
402,hg02,False,5,17,12,medium green circle
403,hg02,False,5,17,13,large blue rectangle
404,hg02,False,5,17,14,small blue triangle
405,hg02,False,4,18,15,small green rectangle
406,hg02,False,3,19,16,medium blue rectangle
407,hg02,False,6,16,17,small blue circle
408,hg02,False,5,16,18,large yellow circle
409,hg02,False,5,16,19,large green rectangle
410,hg02,False,0,21,20,small blue rectangle
411,hg02,False,4,17,21,medium blue circle
412,hg02,False,1,20,22,small blue circle
413,hg02,False,2,18,23,large yellow circle
414,hg02,False,1,19,24,medium green rectangle
415,hg02,False,0,20,25,large blue rectangle
416,hg02,False,1,19,26,large green rectangle
417,hg02,False,2,18,27,large blue triangle
418,hg02,False,0,20,28,large yellow circle
419,hg02,False,1,19,29,medium blue triangle
420,hg02,False,1,19,30,large green circle
421,hg02,False,2,18,31,large yellow triangle
422,hg02,False,3,17,32,medium yellow circle
423,hg02,False,1,19,33,large blue circle
424,hg02,False,0,20,34,small blue triangle
425,hg02,False,1,19,35,medium green rectangle
426,hg02,False,1,19,36,large green circle
427,hg02,False,1,19,37,medium yellow triangle
428,hg02,False,2,18,38,large green triangle
429,hg02,False,2,18,39,small green triangle
430,hg02,False,2,18,40,small green circle
431,hg02,False,0,20,41,small yellow rectangle
432,hg02,False,1,19,42,small yellow rectangle
433,hg02,False,2,18,43,large green circle
434,hg02,False,1,19,44,small yellow circle
435,hg02,False,2,18,45,medium blue circle
436,hg02,False,1,19,46,large yellow triangle
437,hg02,False,0,20,47,small blue triangle
438,hg02,False,0,20,48,medium green triangle
439,hg02,False,1,19,49,large yellow triangle
440,hg02,False,0,20,50,small green triangle
441,hg02,False,0,20,51,small blue circle
442,hg02,False,1,19,52,medium green circle
443,hg02,False,0,20,53,large blue circle
444,hg02,False,1,19,54,small yellow triangle
445,hg02,False,1,19,55,medium yellow circle
446,hg02,False,0,20,56,large green circle
447,hg02,False,1,19,57,large yellow rectangle
448,hg02,False,0,20,58,small yellow rectangle
449,hg02,False,1,19,59,large yellow triangle
450,hg02,False,0,20,60,large green triangle
451,hg02,False,1,19,61,small green triangle
452,hg02,False,0,20,62,medium blue circle
453,hg02,False,1,19,63,small yellow triangle
454,hg02,False,1,19,64,large green triangle
455,hg02,False,2,18,65,small green rectangle
456,hg02,False,1,19,66,small blue rectangle
457,hg02,False,2,18,67,large yellow rectangle
458,hg02,False,1,19,68,small blue triangle
459,hg02,False,1,19,69,small yellow rectangle
460,hg02,False,0,20,70,large blue circle
461,hg02,False,1,19,71,medium yellow triangle
462,hg02,False,1,19,72,large blue circle
463,hg02,False,1,19,73,small blue triangle
464,hg02,False,1,19,74,small green rectangle
465,hg02,False,1,19,75,large green rectangle
466,hg02,False,0,20,76,medium yellow rectangle
467,hg02,False,1,19,77,small green circle
468,hg109,True,15,12,0,medium blue circle
469,hg109,False,19,8,1,large green circle
470,hg109,False,4,23,2,small yellow triangle
471,hg109,False,5,22,3,small green triangle
472,hg109,False,11,16,4,large yellow triangle
473,hg109,True,23,4,5,medium blue rectangle
474,hg109,True,15,12,6,small blue triangle
475,hg109,False,2,25,7,small green circle
476,hg109,False,16,11,8,large blue circle
477,hg109,True,21,6,9,medium blue triangle
478,hg109,False,23,3,10,medium blue rectangle
479,hg109,False,3,23,11,medium yellow triangle
480,hg109,False,0,26,12,small green rectangle
481,hg109,False,1,25,13,large yellow rectangle
482,hg109,False,11,14,14,small blue circle
483,hg109,False,7,18,15,large blue circle
484,hg109,False,2,23,16,large yellow circle
485,hg109,False,1,24,17,large yellow rectangle
486,hg109,False,10,15,18,small blue rectangle
487,hg109,True,20,5,19,medium blue circle
488,hg109,True,21,4,20,medium blue triangle
489,hg109,True,17,8,21,small blue triangle
490,hg109,False,0,25,22,medium yellow rectangle
491,hg109,False,1,24,23,small yellow circle
492,hg109,True,11,14,24,large blue circle
493,hg109,False,2,23,25,medium yellow triangle
494,hg109,False,1,24,26,small yellow triangle
495,hg109,True,19,6,27,small blue circle
496,hg109,False,1,24,28,medium green rectangle
497,hg109,True,22,3,29,medium blue circle
498,hg109,False,4,21,30,large green circle
499,hg109,False,3,22,31,large yellow circle
500,hg109,True,23,2,32,medium blue triangle
501,hg109,False,1,24,33,medium green rectangle
502,hg109,False,1,24,34,small green circle
503,hg109,False,1,24,35,small green rectangle
504,hg109,False,1,24,36,large green circle
505,hg109,False,0,25,37,large green triangle
506,hg109,False,1,24,38,medium green circle
507,hg109,False,0,25,39,small yellow triangle
508,hg109,False,13,12,40,large blue rectangle
509,hg109,False,1,24,41,small yellow triangle
510,hg109,False,0,25,42,large green rectangle
511,hg109,True,20,5,43,small blue rectangle
512,hg109,False,2,23,44,large green triangle
513,hg109,False,1,24,45,medium green triangle
514,hg109,False,0,25,46,medium yellow rectangle
515,hg109,False,5,20,47,large blue rectangle
516,hg109,False,1,24,48,large green rectangle
517,hg109,False,0,25,49,small green rectangle
518,hg109,False,0,25,50,small green circle
519,hg109,False,1,24,51,medium yellow triangle
520,hg109,False,1,24,52,medium yellow rectangle
521,hg109,False,10,15,53,large blue triangle
522,hg109,False,0,25,54,large yellow circle
523,hg109,False,13,12,55,small blue rectangle
524,hg109,False,1,24,56,large green circle
525,hg109,False,0,25,57,large yellow triangle
526,hg109,False,1,24,58,small green rectangle
527,hg109,False,14,11,59,small blue triangle
528,hg109,False,1,24,60,medium green circle
529,hg109,False,1,24,61,small yellow triangle
530,hg109,False,5,20,62,small blue triangle
531,hg109,False,0,25,63,medium yellow triangle
532,hg109,False,2,23,64,medium green rectangle
533,hg109,False,0,25,65,small green triangle
534,hg109,False,0,25,66,large green rectangle
535,hg109,False,0,25,67,medium yellow rectangle
536,hg109,False,3,22,68,large blue rectangle
537,hg109,True,13,12,69,large blue triangle
538,hg109,False,1,24,70,medium yellow triangle
539,hg109,False,0,25,71,small yellow triangle
540,hg109,True,17,8,72,medium blue rectangle
541,hg109,False,1,24,73,large yellow circle
542,hg109,False,0,25,74,medium green circle
543,hg109,False,0,24,75,large yellow circle
544,hg109,False,1,23,76,small green rectangle
545,hg109,False,10,14,77,medium blue circle
546,hg16,True,7,15,0,small blue circle
547,hg16,True,5,17,1,small yellow rectangle
548,hg16,True,13,9,2,medium green triangle
549,hg16,True,8,14,3,large green rectangle
550,hg16,False,16,6,4,small blue rectangle
551,hg16,True,18,4,5,medium blue circle
552,hg16,True,17,5,6,large green rectangle
553,hg16,True,13,9,7,medium yellow triangle
554,hg16,False,14,8,8,medium blue triangle
555,hg16,True,19,3,9,medium green rectangle
556,hg16,True,16,6,10,small yellow triangle
557,hg16,True,18,4,11,medium green triangle
558,hg16,True,16,6,12,large green triangle
559,hg16,False,10,12,13,medium blue triangle
560,hg16,False,11,11,14,medium green circle
561,hg16,True,17,5,15,small green rectangle
562,hg16,True,17,5,16,small yellow rectangle
563,hg16,True,21,1,17,small yellow triangle
564,hg16,True,16,6,18,medium yellow rectangle
565,hg16,False,11,11,19,medium blue triangle
566,hg16,False,12,10,20,large blue triangle
567,hg16,False,9,13,21,large yellow circle
568,hg16,True,17,5,22,small green triangle
569,hg16,True,16,6,23,small blue circle
570,hg16,True,21,1,24,large green rectangle
571,hg16,False,8,14,25,medium blue rectangle
572,hg16,False,6,16,26,medium blue rectangle
573,hg16,True,19,3,27,small green triangle
574,hg16,True,20,2,28,medium green rectangle
575,hg16,False,5,17,29,medium blue triangle
576,hg16,True,18,4,30,large green rectangle
577,hg16,True,16,6,31,large yellow triangle
578,hg16,True,17,5,32,medium yellow rectangle
579,hg16,False,10,12,33,medium green circle
580,hg16,False,6,16,34,medium blue triangle
581,hg16,False,9,13,35,small blue rectangle
582,hg16,True,16,6,36,large yellow rectangle
583,hg16,False,5,17,37,large yellow circle
584,hg16,False,6,16,38,medium yellow circle
585,hg16,True,21,1,39,large green triangle
586,hg16,True,18,4,40,medium yellow rectangle
587,hg16,False,5,17,41,medium blue triangle
588,hg16,True,19,3,42,large yellow rectangle
589,hg16,True,20,2,43,medium yellow triangle
590,hg16,False,7,15,44,large blue triangle
591,hg16,False,6,16,45,large blue rectangle
592,hg16,False,6,16,46,small blue triangle
593,hg16,False,5,17,47,large yellow circle
594,hg16,True,20,2,48,large green triangle
595,hg16,False,4,18,49,medium blue rectangle
596,hg16,False,5,17,50,large blue rectangle
597,hg16,True,18,4,51,large yellow rectangle
598,hg16,False,6,16,52,medium blue triangle
599,hg16,True,12,10,53,large blue circle
600,hg16,False,5,17,54,large green circle
601,hg16,False,3,19,55,medium blue rectangle
602,hg16,False,5,17,56,large green circle
603,hg16,False,7,15,57,small yellow circle
604,hg16,True,19,3,58,small yellow triangle
605,hg16,True,19,3,59,small green rectangle
606,hg16,True,19,3,60,large blue circle
607,hg16,False,3,19,61,large green circle
608,hg16,False,3,19,62,small blue rectangle
609,hg16,True,18,4,63,large yellow triangle
610,hg16,False,5,17,64,large blue rectangle
611,hg16,True,18,4,65,medium yellow triangle
612,hg04,False,14,12,0,small yellow rectangle
613,hg04,False,5,21,1,small yellow triangle
614,hg04,False,8,18,2,large blue rectangle
615,hg04,False,8,18,3,large green triangle
616,hg04,False,2,24,4,small blue triangle
617,hg04,False,4,22,5,medium green triangle
618,hg04,False,3,23,6,large blue triangle
619,hg04,False,5,21,7,medium blue rectangle
620,hg04,False,1,23,8,small green triangle
621,hg04,False,2,22,9,small green rectangle
622,hg04,False,2,22,10,large green triangle
623,hg04,False,5,19,11,small yellow rectangle
624,hg04,False,2,22,12,medium blue rectangle
625,hg04,True,5,19,13,small green circle
626,hg04,False,1,23,14,large green triangle
627,hg04,False,0,23,15,small yellow triangle
628,hg04,True,12,11,16,medium green circle
629,hg04,False,0,23,17,medium green triangle
630,hg04,False,1,22,18,large blue triangle
631,hg04,True,22,1,19,small green circle
632,hg04,True,21,2,20,large green circle
633,hg04,False,2,21,21,small yellow rectangle
634,hg04,True,15,8,22,small blue circle
635,hg04,False,1,22,23,medium blue rectangle
636,hg04,False,0,23,24,small green triangle
637,hg04,False,0,23,25,small yellow rectangle
638,hg04,True,23,0,26,small blue circle
639,hg04,False,1,22,27,large green rectangle
640,hg04,True,23,0,28,small green circle
641,hg04,True,22,1,29,small yellow circle
642,hg04,False,1,22,30,small blue rectangle
643,hg04,True,21,2,31,large green circle
644,hg04,False,2,21,32,medium blue rectangle
645,hg04,True,23,0,33,medium yellow circle
646,hg04,False,0,23,34,medium blue triangle
647,hg04,False,0,23,35,large yellow triangle
648,hg04,False,0,23,36,large green triangle
649,hg04,True,20,3,37,large yellow circle
650,hg04,False,1,22,38,large yellow triangle
651,hg04,False,2,21,39,small blue triangle
652,hg04,False,2,21,40,large blue triangle
