,model,concept,listnum,first_quarter,last_quarter,overall,chance,human_ove_mean,human_lq_mean,human_lq_median,human_lq_sd,is_boolean,above_chance,delta_lq_median,delta_lq,delta_ove,lq_above_first_percentile,lq_above_fifth_percentile,lq_above_first_quintile,lq_above_first_decile,lq_above_first_quartile,lq_above_sd,lq_above_2sd,lq_above_3sd,lq_at_human_baseline,ove_at_human_baseline,learned
16,GPT4,hg09,1,0.5882352941176471,1.0,0.8787878787878788,0.7428833792470158,0.8564213564213565,0.9187675070028012,1.0,0.1597866744756488,True,True,0.0,0.08123249299719881,0.14357864357864347,True,True,True,True,True,True,True,True,True,True,True
17,GPT4,hg09,2,0.85,1.0,0.9358974358974359,0.836620644312952,0.8862876254180602,0.95,1.0,0.1829706557608766,True,True,0.0,0.050000000000000044,0.11371237458193983,True,True,True,True,True,True,True,True,True,True,True
18,GPT4,hg10,1,0.7894736842105263,1.0,0.9473684210526315,0.5779085872576177,0.9204260651629071,0.9824561403508772,1.0,0.0375103497420946,True,True,0.0,0.01754385964912275,0.07957393483709285,True,True,True,True,True,True,True,True,True,True,True
19,GPT4,hg10,2,0.8421052631578947,1.0,0.958904109589041,0.6734847063238882,0.9106611078022632,0.9977116704805492,1.0,0.0107332168417011,True,True,0.0,0.0022883295194507935,0.08933889219773683,True,True,True,True,True,True,True,True,True,True,True
20,GPT4,hg11,1,0.75,1.0,0.9230769230769231,0.7764628533859304,0.8339160839160837,0.927272727272727,1.0,0.1125401673012722,True,True,0.0,0.07272727272727297,0.16608391608391626,True,True,True,True,True,True,True,True,True,True,True
21,GPT4,hg11,2,0.7,1.0,0.8961038961038961,0.8347107438016528,0.9102715466351832,0.984090909090909,1.0,0.0461872759838672,True,True,0.0,0.015909090909090984,0.08972845336481683,True,True,True,True,True,True,True,True,True,False,True
22,GPT4,hg12,1,0.8125,1.0,0.9344262295081968,0.5227089492072023,0.7954098360655739,0.915,0.9375,0.1116355678088305,True,True,0.0625,0.08499999999999996,0.20459016393442608,True,True,True,True,True,True,True,True,True,True,True
23,GPT4,hg12,2,0.7272727272727273,1.0,0.9294117647058824,0.5006228373702423,0.8199488491048595,0.909090909090909,1.0,0.1380007134394948,True,True,0.0,0.09090909090909105,0.18005115089514045,True,True,True,True,True,True,True,True,True,True,True
24,GPT4,hg13,1,0.8947368421052632,1.0,0.9315068493150684,0.6284481140927003,0.8773972602739726,0.9578947368421054,1.0,0.1295635118430649,True,True,0.0,0.042105263157894646,0.12260273972602742,True,True,True,True,True,True,True,True,True,True,True
25,GPT4,hg13,2,0.9473684210526315,1.0,0.9726027397260274,0.7440420341527492,0.8838594401429423,0.965675057208238,1.0,0.072145916569494,True,True,0.0,0.034324942791762014,0.11614055985705773,True,True,True,True,True,True,True,True,True,True,True
26,GPT4,hg14,1,0.7619047619047619,0.9523809523809523,0.8765432098765432,0.5555555555555556,0.6972624798711756,0.7784679089026914,0.9047619047619048,0.2699621480918774,True,True,0.04761904761904756,0.17391304347826098,0.2551184725097767,True,True,True,True,True,True,True,True,True,True,True
27,GPT4,hg14,2,0.7222222222222222,0.8888888888888888,0.8571428571428571,0.5065306122448979,0.8081632653061223,0.8862433862433863,1.0,0.1675252931109795,True,True,-0.11111111111111116,0.002645502645502562,0.08072562358276658,True,True,True,True,True,True,True,True,True,True,True
28,GPT4,hg15,1,0.55,0.95,0.8461538461538461,0.5082182774490467,0.7744755244755246,0.8454545454545453,0.975,0.2320408912381858,True,True,-0.025000000000000022,0.10454545454545461,0.17552447552447537,True,True,True,True,True,True,True,True,True,True,True
29,GPT4,hg15,2,0.6,0.95,0.8311688311688312,0.5000843312531624,0.7129186602870813,0.8052631578947368,0.95,0.2293553533631676,True,True,0.0,0.14473684210526316,0.23708133971291867,True,True,True,True,True,True,True,True,True,True,True
30,GPT4,hg16,1,0.6666666666666666,1.0,0.8405797101449275,0.5051459777357697,0.7453416149068323,0.9074074074074072,0.9444444444444444,0.1507704428441799,True,True,0.05555555555555558,0.09259259259259278,0.25465838509316774,True,True,True,True,True,True,True,True,True,True,True
31,GPT4,hg16,2,0.29411764705882354,0.8823529411764706,0.7727272727272727,0.5041322314049587,0.7224517906336089,0.7941176470588236,0.9411764705882352,0.2443124665564139,True,True,-0.05882352941176461,0.08823529411764697,0.1599011505428617,True,True,True,True,True,True,True,True,True,True,True
32,GPT4,hg17,1,0.45,1.0,0.6538461538461539,0.7054569362261669,0.6975524475524475,0.859090909090909,0.95,0.1874690057027389,False,True,0.050000000000000044,0.14090909090909098,0.3024475524475525,True,True,True,True,True,True,True,True,True,False,True
33,GPT4,hg17,2,0.6666666666666666,0.6666666666666666,0.6790123456790124,0.6043286084438348,0.6831275720164609,0.8299319727891156,0.8095238095238095,0.1495567568965183,False,True,-0.1428571428571429,-0.16326530612244894,-0.016460905349794275,True,True,True,True,True,False,True,True,False,True,False
34,GPT4,hg18,1,0.8947368421052632,0.9473684210526315,0.9315068493150684,0.6021767686245074,0.9514321295143214,0.9952153110047848,1.0,0.0219261994973963,True,True,-0.052631578947368474,-0.04784688995215325,-0.004063708461689908,True,False,False,False,False,False,False,True,False,False,True
35,GPT4,hg18,2,0.8333333333333334,1.0,0.9571428571428572,0.5146938775510204,0.9108571428571428,0.9555555555555554,1.0,0.0942809041582063,True,True,0.0,0.04444444444444462,0.08914285714285719,True,True,True,True,True,True,True,True,True,True,True
36,GPT4,hg19,1,0.6666666666666666,0.9523809523809523,0.8518518518518519,0.5732357872275567,0.8980338363054412,0.9770723104056436,1.0,0.0833601573057952,True,True,-0.04761904761904767,-0.024691358024691246,0.054347116075511126,True,True,False,False,False,True,True,True,False,False,True
37,GPT4,hg19,2,0.7222222222222222,1.0,0.9305555555555556,0.5385802469135802,0.863756613756614,0.9259259259259258,1.0,0.1833239803076234,True,True,0.0,0.07407407407407418,0.13624338624338606,True,True,True,True,True,True,True,True,True,True,True
38,GPT4,hg20,1,0.8888888888888888,1.0,0.9714285714285714,0.5330612244897959,0.9149659863945576,0.9682539682539684,1.0,0.1300877338957063,True,True,0.0,0.03174603174603163,0.08503401360544238,True,True,True,True,True,True,True,True,True,True,True
39,GPT4,hg20,2,0.8421052631578947,1.0,0.958904109589041,0.5413773691124039,0.9148302561048244,0.9816933638443937,1.0,0.0367560146549405,True,True,0.0,0.01830663615560635,0.08516974389517562,True,True,True,True,True,True,True,True,True,True,True
40,GPT4,hg21,1,0.5882352941176471,1.0,0.8787878787878788,0.5165289256198348,0.7699724517906336,0.8449197860962566,1.0,0.2041912630164362,True,True,0.0,0.15508021390374338,0.23002754820936644,True,True,True,True,True,True,True,True,True,True,True
41,GPT4,hg21,2,0.85,0.95,0.9367088607594937,0.6346739304598623,0.8433544303797468,0.90625,1.0,0.1509087058456204,True,True,-0.050000000000000044,0.043749999999999956,0.10664556962025318,True,True,True,True,True,True,True,True,True,True,True
42,GPT4,hg22,1,0.5454545454545454,0.9545454545454546,0.8705882352941177,0.5582006920415225,0.8918767507002802,0.9696969696969696,1.0,0.0868502279122895,True,True,-0.045454545454545414,-0.015151515151515027,0.06266870384517442,True,True,False,True,False,True,True,True,True,True,True
43,GPT4,hg22,2,0.7222222222222222,1.0,0.9166666666666666,0.5756172839506173,0.8327020202020203,0.8787878787878789,1.0,0.1696999759233479,True,True,0.0,0.1212121212121211,0.16729797979797967,True,True,True,True,True,True,True,True,True,True,True
44,GPT4,hg23,1,0.7222222222222222,1.0,0.9305555555555556,0.5756172839506173,0.9010416666666666,0.9930555555555556,1.0,0.0333043855785605,True,True,0.0,0.00694444444444442,0.09895833333333337,True,True,True,True,True,True,True,True,True,True,True
45,GPT4,hg23,2,0.8181818181818182,1.0,0.9418604651162791,0.5457003785830179,0.9149048625792812,0.9586776859504134,1.0,0.1006264104288092,True,True,0.0,0.04132231404958664,0.08509513742071884,True,True,True,True,True,True,True,True,True,True,True
46,GPT4,hg24,1,0.6842105263157895,1.0,0.9178082191780822,0.8266091199099269,0.8978829389788294,0.9545454545454546,1.0,0.1557230675629172,True,True,0.0,0.045454545454545414,0.10211706102117057,True,True,True,True,True,True,True,True,True,True,True
47,GPT4,hg24,2,0.5789473684210527,1.0,0.881578947368421,0.7912049861495845,0.8624401913875599,0.944976076555024,1.0,0.1582748794930439,True,True,0.0,0.055023923444975975,0.1375598086124401,True,True,True,True,True,True,True,True,True,True,True
48,GPT4,hg25,1,0.85,1.0,0.9493670886075949,0.5135394968755007,0.7594936708860761,0.8375,0.95,0.1863296809421408,True,True,0.050000000000000044,0.16249999999999998,0.2405063291139239,True,True,True,True,True,True,True,True,True,True,True
49,GPT4,hg25,2,0.7777777777777778,1.0,0.927536231884058,0.5085066162570888,0.8155467720685113,0.9141414141414144,1.0,0.1647424891949503,True,True,0.0,0.08585858585858563,0.18445322793148866,True,True,True,True,True,True,True,True,True,True,True
50,GPT4,hg26,1,0.7058823529411765,0.8235294117647058,0.75,0.7703287197231834,0.7766106442577031,0.8263305322128852,0.8235294117647058,0.1237575464110617,False,True,0.0,-0.0028011204481793728,0.046918767507002745,True,True,True,True,True,True,True,True,True,False,True
51,GPT4,hg26,2,0.55,0.9,0.782051282051282,0.7958579881656804,0.8168498168498168,0.8571428571428571,0.8,0.1329927623216089,False,True,0.09999999999999998,0.04285714285714293,0.08315018315018319,True,True,True,True,True,True,True,True,True,False,True
52,GPT4,hg27,1,0.6111111111111112,0.7777777777777778,0.7857142857142857,0.7551020408163267,0.7931677018633541,0.8574879227053139,0.8333333333333334,0.1298519812146435,False,True,-0.05555555555555558,-0.07971014492753614,-0.015389924085576268,True,True,True,True,True,True,True,True,False,True,True
53,GPT4,hg27,2,0.42105263157894735,0.8947368421052632,0.6710526315789473,0.6675900277008311,0.751716247139588,0.8832951945080091,0.9473684210526316,0.1748738963344878,False,True,-0.052631578947368474,0.011441647597254079,0.1430205949656752,True,True,True,True,True,True,True,True,True,False,True
54,GPT4,hg28,1,0.4444444444444444,0.8333333333333334,0.6376811594202898,0.6597353497164462,0.7253623188405797,0.8027777777777778,0.8333333333333334,0.2059867849051379,False,True,0.0,0.030555555555555558,0.1079710144927537,True,True,True,True,True,True,True,True,True,False,True
55,GPT4,hg28,2,0.65,0.5,0.5949367088607594,0.5353308764621054,0.7413318657127133,0.8021739130434782,0.95,0.1997162448322756,False,False,-0.44999999999999996,-0.3021739130434782,-0.24133186571271326,True,True,False,False,False,False,True,True,False,False,False
56,GPT4,hg29,1,0.7222222222222222,0.8333333333333334,0.782608695652174,0.6143667296786388,0.7964426877470355,0.8358585858585859,0.9444444444444444,0.2054786047114985,False,True,-0.11111111111111105,-0.002525252525252486,0.03689064558629784,True,True,True,True,True,True,True,True,True,True,True
57,GPT4,hg29,2,0.45,0.8,0.6923076923076923,0.6591058514135437,0.7959866220735784,0.9021739130434784,1.0,0.1645007340208053,False,True,-0.19999999999999996,-0.10217391304347834,0.004013377926421646,True,True,True,True,False,True,True,True,False,False,True
58,GPT4,hg30,1,0.7222222222222222,0.8333333333333334,0.7605633802816901,0.8000396746677247,0.7740076824583866,0.8131313131313131,0.8888888888888888,0.2013878993674432,False,True,-0.05555555555555547,0.02020202020202022,0.05932565087494679,True,True,True,True,True,True,True,True,True,True,True
59,GPT4,hg30,2,0.5555555555555556,0.9444444444444444,0.7777777777777778,0.8024691358024691,0.7857142857142857,0.8703703703703705,0.9444444444444444,0.1647449468459287,False,True,0.0,0.07407407407407396,0.15873015873015872,True,True,True,True,True,True,True,True,True,True,True
60,GPT4,hg31,1,0.8,0.9,0.8333333333333334,0.5003287310979618,0.7397435897435898,0.8400000000000002,0.9,0.1554027026792005,False,True,0.0,0.05999999999999983,0.16025641025641024,True,True,True,True,True,True,True,True,True,True,True
61,GPT4,hg31,2,0.7142857142857143,1.0,0.8780487804878049,0.5190362879238548,0.8229268292682927,0.9085714285714286,0.9523809523809524,0.1529275909460499,False,True,0.04761904761904756,0.09142857142857141,0.17707317073170725,True,True,True,True,True,True,True,True,True,True,True
62,GPT4,hg32,1,0.7619047619047619,0.9047619047619048,0.8518518518518519,0.5006858710562414,0.9030864197530866,0.9642857142857142,1.0,0.1240610997153621,False,True,-0.09523809523809523,-0.05952380952380942,0.0016754850088182005,True,False,False,False,False,True,True,True,False,False,True
63,GPT4,hg32,2,0.8333333333333334,0.8888888888888888,0.8285714285714286,0.5004081632653061,0.7559006211180123,0.859903381642512,0.9444444444444444,0.1830656552801586,False,True,-0.05555555555555558,0.02898550724637683,0.13298826777087658,True,True,True,True,True,True,True,True,True,True,True
64,GPT4,hg33,1,0.9047619047619048,0.9047619047619048,0.9135802469135802,0.747599451303155,0.8759553203997648,0.8730158730158731,0.9047619047619048,0.1083226386620969,False,True,0.0,0.03174603174603163,0.02880658436214001,True,True,True,True,True,True,True,True,True,True,False
65,GPT4,hg33,2,0.7222222222222222,0.8888888888888888,0.855072463768116,0.6941818945599665,0.8536922015182883,0.9232804232804231,0.9444444444444444,0.1205954637041426,False,True,-0.05555555555555558,-0.034391534391534306,0.035196687370600555,True,True,True,True,True,True,True,True,False,True,True
66,GPT4,hg34,1,0.631578947368421,0.8421052631578947,0.76,0.52,0.7005555555555555,0.7763157894736842,0.7894736842105263,0.1475015063228091,False,True,0.05263157894736836,0.06578947368421051,0.1415497076023392,True,True,True,True,True,True,True,True,True,True,True
67,GPT4,hg34,2,0.7777777777777778,0.7777777777777778,0.782608695652174,0.5555555555555556,0.7277882797731567,0.7898550724637682,0.8333333333333334,0.1320352692629608,False,True,-0.05555555555555558,-0.012077294685990392,0.04998949800462105,True,True,True,True,True,True,True,True,True,True,False
68,GPT4,hg35,1,0.55,0.85,0.6835443037974683,0.5020028841531806,0.7681242807825086,0.8931818181818181,0.95,0.1479369141847713,False,True,-0.09999999999999998,-0.0431818181818181,0.08187571921749137,True,True,False,True,False,True,True,True,False,False,True
69,GPT4,hg35,2,0.7647058823529411,0.8235294117647058,0.7941176470588235,0.500432525951557,0.8337595907928387,0.9028132992327366,0.9411764705882352,0.1209369863686638,False,True,-0.11764705882352933,-0.07928388746803072,-0.010230179028132835,True,True,True,True,True,True,True,True,False,False,True
70,GPT4,hg36,1,0.6,0.35,0.5316455696202531,0.5769908668482614,0.6677215189873418,0.6604166666666668,0.65,0.1639227248499189,False,False,-0.30000000000000004,-0.3104166666666668,-0.3177215189873418,False,False,False,False,False,False,True,True,False,False,False
71,GPT4,hg36,2,0.6666666666666666,0.6111111111111112,0.7083333333333334,0.6392746913580246,0.6580687830687831,0.6455026455026455,0.6111111111111112,0.1288443985384753,False,False,0.0,-0.034391534391534306,-0.046957671957671976,True,True,True,True,True,True,True,True,False,True,False
72,GPT4,hg37,1,0.5882352941176471,0.8235294117647058,0.6323529411764706,0.5155709342560554,0.7086834733893558,0.84593837535014,1.0,0.1783062236732722,False,True,-0.17647058823529416,-0.022408963585434205,0.11484593837535007,True,True,True,True,True,True,True,True,True,False,True
73,GPT4,hg37,2,0.6111111111111112,0.8333333333333334,0.7714285714285715,0.5689795918367347,0.7485714285714286,0.8083333333333332,0.8611111111111112,0.2059867849051379,False,True,-0.02777777777777779,0.025000000000000133,0.08476190476190482,True,True,True,True,True,True,True,True,True,True,True
74,GPT4,hg38,1,0.75,0.65,0.725,0.56125,0.6357142857142858,0.6380952380952382,0.6,0.1595415768357233,False,True,0.050000000000000044,0.011904761904761862,0.014285714285714235,True,True,True,True,True,True,True,True,True,True,False
75,GPT4,hg38,2,0.6190476190476191,0.7142857142857143,0.7142857142857143,0.518140589569161,0.6204761904761905,0.5847619047619047,0.5714285714285714,0.1995550606279435,False,True,0.1428571428571429,0.1295238095238096,0.09380952380952379,True,True,True,True,True,True,True,True,True,True,True
76,GPT4,hg39,1,0.75,0.85,0.8205128205128205,0.57396449704142,0.7532051282051282,0.8075000000000001,0.85,0.1334868907421249,False,True,0.0,0.04249999999999987,0.09679487179487178,True,True,True,True,True,True,True,True,True,True,True
77,GPT4,hg39,2,0.5263157894736842,0.8421052631578947,0.75,0.7714681440443214,0.8019736842105264,0.881578947368421,0.9210526315789472,0.1391256830303821,False,True,-0.07894736842105254,-0.03947368421052633,0.040131578947368296,True,True,True,True,True,True,True,True,False,False,True
78,GPT4,hg40,1,0.8095238095238095,0.8095238095238095,0.7682926829268293,0.6859012492563951,0.7045454545454545,0.7012987012987013,0.6666666666666667,0.1782793098006407,False,True,0.1428571428571428,0.10822510822510822,0.10497835497835506,True,True,True,True,True,True,True,True,True,True,False
79,GPT4,hg40,2,0.8,0.45,0.620253164556962,0.6218554718795064,0.6620803522289489,0.7565217391304349,0.75,0.1623899947563747,False,False,-0.3,-0.30652173913043484,-0.2120803522289489,False,False,False,False,False,False,True,True,False,False,False
80,GPT4,hg41,1,0.6470588235294118,0.8823529411764706,0.8333333333333334,0.7024793388429753,0.8326446280991735,0.8502673796791442,0.8823529411764706,0.1117890104832452,False,True,0.0,0.03208556149732633,0.04970831307729706,True,True,True,True,True,True,True,True,True,True,True
81,GPT4,hg41,2,0.631578947368421,0.8947368421052632,0.821917808219178,0.7072621504972789,0.7142857142857144,0.8421052631578947,0.8947368421052632,0.1299396631259721,False,True,0.0,0.052631578947368474,0.18045112781954875,True,True,True,True,True,True,True,True,True,True,True
82,GPT4,hg42,1,0.55,0.95,0.7948717948717948,0.8159105851413544,0.7727272727272727,0.8295454545454547,0.85,0.0984644501019748,False,True,0.09999999999999998,0.12045454545454526,0.17727272727272725,True,True,True,True,True,True,True,True,True,True,True
83,GPT4,hg42,2,0.6666666666666666,0.8095238095238095,0.7831325301204819,0.752649150820148,0.7853231106243154,0.8419913419913421,0.8571428571428571,0.1169832823971572,False,True,-0.04761904761904756,-0.032467532467532534,0.024200698899494166,True,True,True,True,False,True,True,True,False,True,True
84,GPT4,hg43,1,0.42857142857142855,1.0,0.8214285714285714,0.625,0.8566252587991718,0.9358178053830228,1.0,0.1429321374252025,False,True,0.0,0.06418219461697716,0.14337474120082816,True,True,True,True,True,True,True,True,True,False,True
85,GPT4,hg43,2,0.5,0.8333333333333334,0.7605633802816901,0.6508629240230113,0.8572343149807939,0.8308080808080807,0.8333333333333334,0.0811624175756979,False,True,0.0,0.002525252525252708,-0.023900981647460573,True,True,True,True,True,True,True,True,True,False,True
86,GPT4,hg44,1,0.5,0.8,0.6794871794871795,0.6591058514135437,0.6934225195094763,0.6391304347826087,0.65,0.1366974775848912,False,True,0.15000000000000002,0.16086956521739137,0.10657748049052373,True,True,True,True,True,True,True,True,True,True,True
87,GPT4,hg44,2,0.4,0.8,0.6538461538461539,0.6449704142011834,0.673611111111111,0.6479166666666667,0.65,0.1278664396504762,False,True,0.15000000000000002,0.15208333333333335,0.126388888888889,True,True,True,True,True,True,True,True,True,False,True
88,GPT4,hg45,1,0.6666666666666666,0.7222222222222222,0.6285714285714286,0.6800000000000002,0.7188311688311688,0.7954545454545456,0.8333333333333334,0.1483035036366264,False,True,-0.11111111111111116,-0.07323232323232343,0.003391053391053389,True,True,True,True,True,True,True,True,False,False,True
89,GPT4,hg45,2,0.45454545454545453,0.7727272727272727,0.6590909090909091,0.5506198347107438,0.682312252964427,0.6936758893280632,0.6363636363636364,0.1920151431065789,False,True,0.13636363636363635,0.07905138339920947,0.09041501976284572,True,True,True,True,True,True,True,True,True,True,True
90,GPT4,hg46,1,0.8888888888888888,0.7222222222222222,0.8194444444444444,0.5652006172839507,0.8233333333333335,0.831111111111111,0.8333333333333334,0.0793180813225544,False,True,-0.11111111111111116,-0.10888888888888881,-0.10111111111111126,True,False,False,False,False,False,True,True,False,True,False
91,GPT4,hg46,2,0.7727272727272727,0.9545454545454546,0.8837209302325582,0.5976203353163871,0.8524150268336316,0.8444055944055944,0.8181818181818182,0.0619828597945309,False,True,0.13636363636363635,0.11013986013986021,0.10213042771182301,True,True,True,True,True,True,True,True,True,True,True
92,GPT4,hg47,1,0.47368421052631576,0.9473684210526315,0.7432432432432432,0.710372534696859,0.7381756756756758,0.7828947368421053,0.7894736842105263,0.0822587690066274,False,True,0.1578947368421052,0.16447368421052622,0.20919274537695576,True,True,True,True,True,True,True,True,True,True,True
93,GPT4,hg47,2,0.5238095238095238,0.8095238095238095,0.7073170731707317,0.685901249256395,0.6839872746553552,0.7246376811594203,0.7619047619047619,0.1050405871135885,False,True,0.04761904761904767,0.08488612836438925,0.12553653486845429,True,True,True,True,True,True,True,True,True,True,True
94,GPT4,hg48,1,0.7894736842105263,0.8421052631578947,0.8026315789473685,0.8116343490304709,0.7768878718535469,0.780320366132723,0.7894736842105263,0.1304548541303361,False,True,0.05263157894736836,0.06178489702517165,0.06521739130434778,True,True,True,True,True,True,True,True,True,True,True
95,GPT4,hg48,2,0.5882352941176471,0.7647058823529411,0.6268656716417911,0.8369347293383826,0.7462686567164178,0.8286445012787723,0.8823529411764706,0.1560311922523748,False,False,-0.11764705882352944,-0.06393861892583119,0.01843722563652328,True,True,True,True,True,True,True,True,False,False,True
96,GPT4,hg49,1,0.7,0.6,0.65,0.58,0.6687500000000001,0.7022727272727273,0.7,0.1473070947554436,False,True,-0.09999999999999998,-0.10227272727272729,-0.06875000000000009,True,True,True,True,True,True,True,True,False,True,False
97,GPT4,hg49,2,0.6842105263157895,0.42105263157894735,0.6351351351351351,0.5617238860482103,0.6492628992628992,0.6267942583732057,0.6052631578947368,0.1968712020233587,False,False,-0.1842105263157895,-0.20574162679425834,-0.2282102676839518,True,True,True,True,False,False,True,True,False,True,False
98,GPT4,hg50,1,0.3888888888888889,0.8333333333333334,0.7142857142857143,0.7551020408163267,0.8045454545454546,0.893939393939394,1.0,0.2037176164656435,False,True,-0.16666666666666663,-0.06060606060606066,0.028787878787878807,True,True,True,True,False,True,True,True,False,False,True
99,GPT4,hg50,2,0.5263157894736842,0.8421052631578947,0.7432432432432432,0.8071585098612126,0.8102477477477477,0.8771929824561404,0.9736842105263158,0.1539467436384582,False,True,-0.13157894736842113,-0.03508771929824572,0.03185751541014703,True,True,True,True,True,True,True,True,False,False,True
100,GPT4,hg51,1,0.7,0.9,0.8,0.7628125000000001,0.8255681818181819,0.8954545454545454,0.95,0.1096576189255892,False,True,-0.04999999999999993,0.00454545454545463,0.0744318181818181,True,True,True,True,True,True,True,True,True,False,True
101,GPT4,hg51,2,0.65,0.85,0.8354430379746836,0.7981092773593976,0.8519537699504677,0.8804347826086957,0.9,0.1158514138649932,False,True,-0.050000000000000044,-0.0304347826086957,-0.0019537699504676986,True,True,True,True,True,True,True,True,False,True,True
102,GPT4,hg52,1,0.1111111111111111,0.8888888888888888,0.5694444444444444,0.9459876543209875,0.8920454545454546,0.8888888888888886,0.8888888888888888,0.0648749120134602,False,False,0.0,2.220446049250313e-16,-0.0031565656565657463,True,True,True,True,True,True,True,True,True,False,True
103,GPT4,hg52,2,0.65,0.85,0.7341772151898734,0.9506489344656304,0.8855005753739932,0.9090909090909092,0.95,0.1114331879284659,False,False,-0.09999999999999998,-0.059090909090909194,-0.035500575373993204,True,True,False,False,False,True,True,True,False,False,True
104,GPT4,hg53,1,0.5789473684210527,1.0,0.8904109589041096,1.0,0.9414694894146948,0.9928229665071768,1.0,0.0328892992460945,False,False,0.0,0.0071770334928231705,0.05853051058530523,True,True,True,True,True,True,True,True,True,False,True
105,GPT4,hg53,2,0.5294117647058824,1.0,0.8153846153846154,0.9403550295857988,0.8421404682274248,0.959079283887468,1.0,0.1129960206361868,False,True,0.0,0.04092071611253201,0.15785953177257517,True,True,True,True,True,True,True,True,True,False,True
