,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,rule_expression,manual_code,object,concept_num,set,data_answer,model_answer,to_annotate
330.0,blue and same shape as another object,False,16.0,6.0,1.0,20.0,3.0,0.5226673650394105,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,hg62,6.0,True,True,True
331.0,blue and same shape as another object,False,17.0,6.0,0.0,5.0,18.0,0.0772829839606856,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green triangle,hg62,6.0,False,False,True
332.0,blue and same shape as another object,False,18.0,7.0,0.0,2.0,21.0,0.0239805694682218,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green triangle,hg62,7.0,False,False,True
333.0,blue and same shape as another object,False,19.0,7.0,0.0,3.0,20.0,0.0414397210381594,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,hg62,7.0,False,False,True
334.0,blue and same shape as another object,False,20.0,8.0,0.0,3.0,20.0,0.093227599415627,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green rectangle,hg62,8.0,False,False,True
335.0,blue and same shape as another object,False,21.0,8.0,0.0,4.0,19.0,0.0595837503162783,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,hg62,8.0,False,False,True
336.0,blue and same shape as another object,False,22.0,8.0,0.0,2.0,21.0,0.0521086907154995,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,hg62,8.0,False,False,True
337.0,blue and same shape as another object,False,23.0,9.0,0.0,0.0,23.0,0.1288751780650727,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green circle,hg62,9.0,False,False,True
338.0,blue and same shape as another object,False,24.0,9.0,0.0,8.0,15.0,0.4385301453719421,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue rectangle,hg62,9.0,False,False,True
339.0,blue and same shape as another object,False,25.0,9.0,1.0,12.0,11.0,0.3563367093685201,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue triangle,hg62,9.0,True,False,True
340.0,blue and same shape as another object,False,26.0,9.0,0.0,0.0,23.0,0.122211583025205,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green circle,hg62,9.0,False,False,True
341.0,blue and same shape as another object,False,27.0,9.0,0.0,2.0,21.0,0.0137419039925816,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,hg62,9.0,False,False,True
342.0,blue and same shape as another object,False,28.0,10.0,0.0,0.0,22.0,0.0325177336833348,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green circle,hg62,10.0,False,False,True
343.0,blue and same shape as another object,False,29.0,11.0,0.0,11.0,11.0,0.3658005283722332,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,hg62,11.0,False,False,True
344.0,blue and same shape as another object,False,30.0,11.0,0.0,2.0,20.0,0.11217468115683,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow circle,hg62,11.0,False,False,True
345.0,blue and same shape as another object,False,31.0,11.0,0.0,16.0,6.0,0.4220435026741143,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,hg62,11.0,False,False,True
346.0,blue and same shape as another object,False,32.0,11.0,0.0,2.0,20.0,0.0997224784574655,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow circle,hg62,11.0,False,False,True
347.0,blue and same shape as another object,False,33.0,12.0,0.0,4.0,18.0,0.0520056257580563,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow rectangle,hg62,12.0,False,False,True
348.0,blue and same shape as another object,False,34.0,12.0,1.0,15.0,7.0,0.1844449262928265,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue triangle,hg62,12.0,True,False,True
349.0,blue and same shape as another object,False,35.0,12.0,0.0,3.0,19.0,0.208347566322459,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue circle,hg62,12.0,False,False,True
350.0,blue and same shape as another object,False,36.0,12.0,0.0,1.0,21.0,0.0601166254662075,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,hg62,12.0,False,False,True
351.0,blue and same shape as another object,False,37.0,13.0,1.0,4.0,18.0,0.3514077177649142,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,hg62,13.0,True,False,True
352.0,blue and same shape as another object,False,38.0,13.0,0.0,1.0,21.0,0.0146522383538467,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,hg62,13.0,False,False,True
353.0,blue and same shape as another object,False,39.0,13.0,0.0,1.0,21.0,0.0227401078687989,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green circle,hg62,13.0,False,False,True
354.0,blue and same shape as another object,False,40.0,13.0,0.0,0.0,22.0,0.030200073084643,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green triangle,hg62,13.0,False,False,True
355.0,blue and same shape as another object,False,41.0,14.0,0.0,1.0,21.0,0.0087888338358652,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,hg62,14.0,False,False,True
356.0,blue and same shape as another object,False,42.0,14.0,1.0,18.0,4.0,0.3944630510900424,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue triangle,hg62,14.0,True,False,True
357.0,blue and same shape as another object,False,43.0,15.0,0.0,2.0,20.0,0.0335976128824313,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,hg62,15.0,False,False,True
358.0,blue and same shape as another object,False,44.0,15.0,1.0,17.0,5.0,0.7500312168357368,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue triangle,hg62,15.0,True,True,True
359.0,blue and same shape as another object,False,45.0,15.0,0.0,1.0,21.0,0.0346233830830442,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow rectangle,hg62,15.0,False,False,True
360.0,blue and same shape as another object,False,46.0,16.0,0.0,2.0,20.0,0.0140695330585458,"""λx.apply1(compose11(compose8(and,blue),triangle),x.o)""
",blue and triangle,"def is_rule(obj):
    return obj.blue and obj.triangle",medium yellow triangle,hg62,16.0,False,False,True
361.0,blue and same shape as another object,False,47.0,17.0,0.0,1.0,21.0,0.0409502770626204,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow circle,hg62,17.0,False,False,True
362.0,blue and same shape as another object,False,48.0,17.0,0.0,1.0,21.0,0.0109251527360356,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,hg62,17.0,False,False,True
363.0,blue and same shape as another object,False,49.0,18.0,1.0,18.0,4.0,0.5685655835250145,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,hg62,18.0,True,True,True
364.0,blue and same shape as another object,False,50.0,18.0,1.0,9.0,13.0,0.4168364729224549,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue circle,hg62,18.0,True,False,True
365.0,blue and same shape as another object,False,51.0,18.0,0.0,1.0,21.0,0.0225150475093869,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,hg62,18.0,False,False,True
366.0,blue and same shape as another object,False,52.0,18.0,0.0,0.0,22.0,0.0601612908773177,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green rectangle,hg62,18.0,False,False,True
367.0,blue and same shape as another object,False,53.0,18.0,0.0,1.0,21.0,0.020365523908481,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow circle,hg62,18.0,False,False,True
368.0,blue and same shape as another object,False,54.0,19.0,1.0,18.0,4.0,0.9225306629572289,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",large blue triangle,hg62,19.0,True,True,True
369.0,blue and same shape as another object,False,55.0,19.0,0.0,0.0,22.0,0.0015125207817163,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",small yellow triangle,hg62,19.0,False,False,True
370.0,blue and same shape as another object,False,56.0,19.0,0.0,1.0,21.0,0.00605726574247,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",medium green triangle,hg62,19.0,False,False,True
371.0,blue and same shape as another object,False,57.0,19.0,0.0,1.0,21.0,0.0166600496373803,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",large yellow circle,hg62,19.0,False,False,True
372.0,blue and same shape as another object,False,58.0,20.0,0.0,1.0,21.0,0.0004698926554738,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",small yellow triangle,hg62,20.0,False,False,True
373.0,blue and same shape as another object,False,59.0,20.0,0.0,1.0,21.0,0.0086014000462455,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",large green circle,hg62,20.0,False,False,True
374.0,blue and same shape as another object,False,60.0,20.0,0.0,1.0,21.0,0.0018351094204263,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",small yellow circle,hg62,20.0,False,False,True
375.0,blue and same shape as another object,False,61.0,20.0,0.0,2.0,20.0,0.0021331568838149,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",medium green triangle,hg62,20.0,False,False,True
376.0,blue and same shape as another object,False,62.0,21.0,0.0,0.0,22.0,0.0032544379511136,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",large yellow circle,hg62,21.0,False,False,True
377.0,blue and same shape as another object,False,63.0,21.0,0.0,0.0,22.0,0.0057775820773713,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",large yellow triangle,hg62,21.0,False,False,True
378.0,blue and same shape as another object,False,64.0,21.0,0.0,0.0,22.0,0.001692141340186,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",medium yellow triangle,hg62,21.0,False,False,True
379.0,blue and same shape as another object,False,65.0,22.0,0.0,8.0,14.0,0.5732880770169686,"""λx.apply1(compose11(compose7(compose6(and,not),green),yellow),x.o)""
",(not green) and (not yellow),"def is_rule(obj):
    return (not obj.green) and (not obj.yellow)",small blue circle,hg62,22.0,False,True,True
380.0,blue and same shape as another object,False,66.0,23.0,0.0,11.0,11.0,0.33908085428709,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,hg62,23.0,False,False,True
381.0,blue and same shape as another object,False,67.0,23.0,0.0,2.0,20.0,0.0110341019764064,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow circle,hg62,23.0,False,False,True
382.0,blue and same shape as another object,False,68.0,24.0,0.0,1.0,21.0,0.0138607064704956,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,hg62,24.0,False,False,True
383.0,blue and same shape as another object,False,69.0,24.0,0.0,1.0,21.0,0.0095515705744446,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,hg62,24.0,False,False,True
384.0,blue and same shape as another object,False,70.0,24.0,0.0,2.0,20.0,0.0467102516500972,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green rectangle,hg62,24.0,False,False,True
385.0,blue and same shape as another object,False,71.0,24.0,1.0,19.0,3.0,0.6534449605237569,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,hg62,24.0,True,True,True
386.0,blue and same shape as another object,False,72.0,25.0,0.0,2.0,20.0,0.0056105704450146,"""λx.apply1(compose11(compose8(and,large),blue),x.o)""
",large and blue,"def is_rule(obj):
    return obj.large and obj.blue",large green circle,hg62,25.0,False,False,True
387.0,blue and same shape as another object,False,73.0,25.0,0.0,0.0,22.0,0.0097734078618714,"""λx.apply1(compose11(compose8(and,large),blue),x.o)""
",large and blue,"def is_rule(obj):
    return obj.large and obj.blue",small green rectangle,hg62,25.0,False,False,True
388.0,blue and same shape as another object,False,74.0,25.0,0.0,16.0,6.0,0.8759064844567774,"""λx.apply1(compose11(compose8(and,large),blue),x.o)""
",large and blue,"def is_rule(obj):
    return obj.large and obj.blue",large blue triangle,hg62,25.0,False,True,True
389.0,blue and same shape as another object,False,75.0,25.0,0.0,1.0,21.0,0.0089865216846192,"""λx.apply1(compose11(compose8(and,large),blue),x.o)""
",large and blue,"def is_rule(obj):
    return obj.large and obj.blue",large yellow rectangle,hg62,25.0,False,False,True
1559.0,larger than all other objects,False,0.0,1.0,0.0,14.0,9.0,0.4509910277720337,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green circle,hg29,1.0,False,False,True
1560.0,larger than all other objects,False,1.0,1.0,0.0,15.0,8.0,0.4159405455546903,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green triangle,hg29,1.0,False,False,True
1561.0,larger than all other objects,False,2.0,2.0,0.0,9.0,14.0,0.3373488191178921,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,hg29,2.0,False,False,True
1562.0,larger than all other objects,False,3.0,2.0,0.0,8.0,15.0,0.3582846733767155,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue triangle,hg29,2.0,False,False,True
1563.0,larger than all other objects,False,4.0,2.0,0.0,5.0,18.0,0.2753194225313109,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow triangle,hg29,2.0,False,False,True
1564.0,larger than all other objects,False,5.0,2.0,0.0,10.0,13.0,0.4753785794262057,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,hg29,2.0,False,False,True
1565.0,larger than all other objects,False,6.0,2.0,0.0,9.0,14.0,0.4185487144181934,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue circle,hg29,2.0,False,False,True
1566.0,larger than all other objects,False,7.0,3.0,1.0,8.0,15.0,0.1280930199595786,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow circle,hg29,3.0,True,False,True
1567.0,larger than all other objects,False,8.0,4.0,1.0,14.0,9.0,0.3792277315702677,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow circle,hg29,4.0,True,False,True
1568.0,larger than all other objects,False,9.0,4.0,0.0,5.0,18.0,0.1474752925925031,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow triangle,hg29,4.0,False,False,True
1569.0,larger than all other objects,False,10.0,4.0,0.0,12.0,11.0,0.3698894439691003,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow circle,hg29,4.0,False,False,True
1570.0,larger than all other objects,False,11.0,4.0,0.0,4.0,19.0,0.135161902222535,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,hg29,4.0,False,False,True
1571.0,larger than all other objects,False,12.0,4.0,0.0,4.0,19.0,0.2559184968025647,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue rectangle,hg29,4.0,False,False,True
1572.0,larger than all other objects,False,13.0,5.0,0.0,2.0,21.0,0.0451016368127739,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,hg29,5.0,False,False,True
1573.0,larger than all other objects,False,14.0,5.0,0.0,2.0,21.0,0.1125519878645491,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green rectangle,hg29,5.0,False,False,True
1574.0,larger than all other objects,False,15.0,5.0,0.0,4.0,19.0,0.134041329560091,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue circle,hg29,5.0,False,False,True
1575.0,larger than all other objects,False,16.0,6.0,0.0,1.0,22.0,0.0953130186757107,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,hg29,6.0,False,False,True
1576.0,larger than all other objects,False,17.0,6.0,1.0,4.0,19.0,0.312976387902836,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,hg29,6.0,True,False,True
1577.0,larger than all other objects,False,18.0,6.0,0.0,19.0,4.0,0.280014104864108,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow circle,hg29,6.0,False,False,True
1578.0,larger than all other objects,False,19.0,7.0,0.0,0.0,23.0,0.0741402078763258,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",small blue triangle,hg29,7.0,False,False,True
1579.0,larger than all other objects,False,20.0,7.0,0.0,1.0,22.0,0.0220898070438124,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",small yellow triangle,hg29,7.0,False,False,True
1580.0,larger than all other objects,False,21.0,7.0,1.0,19.0,4.0,0.1561009749924551,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",medium yellow circle,hg29,7.0,True,False,True
1581.0,larger than all other objects,False,22.0,8.0,1.0,13.0,10.0,0.2757199660702554,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",large green triangle,hg29,8.0,True,False,True
1582.0,larger than all other objects,False,23.0,9.0,0.0,6.0,17.0,0.1118995540127798,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",medium blue triangle,hg29,9.0,False,False,True
1583.0,larger than all other objects,False,24.0,9.0,0.0,10.0,13.0,0.2317602095043867,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",medium yellow circle,hg29,9.0,False,False,True
1584.0,larger than all other objects,False,25.0,9.0,0.0,4.0,19.0,0.0607904080939079,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",small green triangle,hg29,9.0,False,False,True
1585.0,larger than all other objects,False,26.0,10.0,0.0,4.0,19.0,0.0824250394731507,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",medium green triangle,hg29,10.0,False,False,True
1586.0,larger than all other objects,False,27.0,10.0,1.0,18.0,5.0,0.5290239694442107,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",large green circle,hg29,10.0,True,True,True
1587.0,larger than all other objects,False,28.0,10.0,0.0,1.0,22.0,0.0345587976503338,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",small yellow triangle,hg29,10.0,False,False,True
1588.0,larger than all other objects,False,29.0,11.0,1.0,20.0,3.0,0.2224523906585318,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",medium yellow circle,hg29,11.0,True,False,True
1589.0,larger than all other objects,False,30.0,11.0,0.0,2.0,21.0,0.0302132626518414,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",small blue triangle,hg29,11.0,False,False,True
1590.0,larger than all other objects,False,31.0,12.0,1.0,14.0,9.0,0.2163164504870565,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",small yellow rectangle,hg29,12.0,True,False,True
1591.0,larger than all other objects,False,32.0,13.0,0.0,1.0,22.0,0.248388906205605,"""λx.apply1(large,x.o)""
",large,"def is_rule(obj):
    return obj.large",medium blue rectangle,hg29,13.0,False,False,True
